,feature,nmatches,ngoodmatches,ex_time
0,orb,1590.0,48.0,0.217195987701416
0,orb,1614.0,50.0,0.24625396728515625
0,orb,1613.0,43.0,0.237476110458374
0,orb,1531.0,9.0,0.2954931259155273
0,orb,2000.0,38.0,0.3254859447479248
0,orb,2000.0,46.0,0.3864178657531738
0,orb,2000.0,32.0,0.3846020698547363
0,orb,2000.0,43.0,0.3425469398498535
0,orb,2000.0,40.0,0.40447187423706055
0,orb,2000.0,44.0,0.35794615745544434
0,orb,2000.0,34.0,0.3565189838409424
0,orb,2000.0,15.0,0.3850030899047852
0,orb,2000.0,50.0,0.4503769874572754
0,orb,2000.0,49.0,0.4186830520629883
0,orb,2000.0,47.0,0.3653879165649414
0,orb,2000.0,50.0,0.3703699111938477
0,orb,2000.0,50.0,0.3355109691619873
0,orb,2000.0,10.0,0.34920096397399897
0,orb,2000.0,20.0,0.346865177154541
0,orb,2000.0,50.0,0.3921048641204834
0,orb,2000.0,50.0,0.3203079700469971
0,orb,2000.0,22.0,0.34691405296325684
0,orb,2000.0,45.0,0.3877158164978027
0,orb,2000.0,10.0,0.3602550029754639
0,orb,2000.0,46.0,0.33488106727600103
0,orb,2000.0,45.0,0.41717004776000977
0,orb,2000.0,47.0,0.3583858013153076
0,orb,2000.0,44.0,0.3525409698486328
0,orb,2000.0,26.0,0.562716007232666
0,orb,2000.0,30.0,0.5135669708251953
0,orb,2000.0,48.0,0.4762661457061768
0,orb,2000.0,11.0,0.5656969547271729
0,orb,2000.0,49.0,0.6522140502929688
0,orb,2000.0,49.0,0.5659849643707275
0,orb,2000.0,18.0,0.35634398460388184
0,orb,2000.0,49.0,0.4216868877410889
0,orb,2000.0,44.0,0.4087059497833252
0,orb,2000.0,27.0,0.4109530448913574
0,orb,2000.0,49.0,0.3732020854949951
0,orb,2000.0,46.0,0.4900798797607422
0,orb,2000.0,33.0,0.3684828281402588
0,orb,2000.0,50.0,0.361987829208374
0,orb,2000.0,49.0,0.3972129821777344
0,orb,2000.0,50.0,0.4211080074310303
0,orb,2000.0,39.0,0.36812496185302734
0,orb,2000.0,38.0,0.3020048141479492
0,orb,2000.0,45.0,0.38735198974609375
0,orb,2000.0,50.0,0.4115869998931885
0,orb,2000.0,49.0,0.3265810012817383
0,orb,2000.0,43.0,0.4682531356811523
0,orb,2000.0,45.0,0.4579131603240967
0,orb,2000.0,45.0,0.3435029983520508
0,orb,2000.0,49.0,0.4045150279998779
0,orb,2000.0,39.0,0.3457930088043213
0,orb,2000.0,47.0,0.3446300029754639
0,orb,2000.0,36.0,0.38234591484069824
0,orb,2000.0,42.0,0.3500480651855469
0,orb,2000.0,48.0,0.35890817642211914
0,orb,2000.0,44.0,0.5944828987121582
0,orb,2000.0,50.0,0.4988300800323486
0,orb,2000.0,48.0,0.5646309852600098
0,orb,2000.0,37.0,0.6009249687194824
0,orb,2000.0,34.0,0.530735969543457
0,orb,2000.0,43.0,0.5898370742797852
0,orb,2000.0,40.0,0.4762370586395264
0,orb,2000.0,24.0,0.5773680210113525
0,orb,2000.0,33.0,0.5306711196899414
0,orb,2000.0,45.0,0.5195839405059814
0,orb,2000.0,23.0,0.4743897914886474
0,orb,2000.0,30.0,0.5336570739746094
0,orb,2000.0,50.0,0.3067710399627685
0,orb,2000.0,42.0,0.3247909545898437
0,orb,2000.0,37.0,0.3269820213317871
0,orb,2000.0,50.0,0.3387100696563721
0,orb,2000.0,38.0,0.3294222354888916
0,orb,2000.0,35.0,0.3143608570098877
0,orb,2000.0,47.0,0.32540202140808105
0,orb,2000.0,22.0,0.3202049732208252
0,orb,2000.0,40.0,0.3106389045715332
0,orb,2000.0,42.0,0.3593578338623047
0,orb,2000.0,37.0,0.3016722202301025
0,orb,2000.0,34.0,0.31967711448669434
0,orb,2000.0,44.0,0.32423996925354004
0,orb,2000.0,41.0,0.3374509811401367
0,orb,2000.0,38.0,0.3306000232696533
0,orb,2000.0,24.0,0.3583018779754639
