,feature,nmatches,ngoodmatches,ex_time
0,orb,1564.0,50.0,0.4072070121765137
0,orb,1565.0,50.0,0.35701513290405273
0,orb,1567.0,50.0,0.3813331127166748
0,orb,1567.0,28.0,0.33304905891418457
0,orb,1183.0,50.0,0.2897069454193115
0,orb,1187.0,50.0,0.1816580295562744
0,orb,1190.0,31.0,0.19543004035949707
0,orb,1276.0,37.0,0.2840840816497803
0,orb,1223.0,50.0,0.27107787132263184
0,orb,1253.0,50.0,0.2255198955535889
0,orb,1243.0,50.0,0.19367313385009768
0,orb,1223.0,33.0,0.21767210960388186
0,orb,1275.0,25.0,0.2691929340362549
0,orb,892.0,50.0,0.16474294662475586
0,orb,893.0,50.0,0.18927621841430664
0,orb,898.0,50.0,0.18012213706970215
0,orb,898.0,50.0,0.14333295822143555
0,orb,876.0,29.0,0.15064692497253418
0,orb,827.0,12.0,0.19569683074951166
0,orb,902.0,50.0,0.1295149326324463
0,orb,904.0,32.0,0.16023588180541992
0,orb,958.0,24.0,0.17445778846740725
0,orb,1074.0,50.0,0.13538002967834473
0,orb,1075.0,50.0,0.14899706840515134
0,orb,1084.0,50.0,0.180819034576416
0,orb,1086.0,18.0,0.16744399070739746
0,orb,1304.0,50.0,0.2120459079742432
0,orb,1306.0,50.0,0.2321169376373291
0,orb,1312.0,50.0,0.17148184776306152
0,orb,1313.0,45.0,0.17837905883789062
0,orb,1140.0,50.0,0.1876850128173828
0,orb,1117.0,35.0,0.13598895072937012
0,orb,1126.0,50.0,0.19143414497375488
0,orb,1133.0,50.0,0.14722800254821775
0,orb,1129.0,38.0,0.1653449535369873
0,orb,1135.0,25.0,0.15127205848693848
0,orb,936.0,50.0,0.12347793579101562
0,orb,943.0,37.0,0.14952397346496582
0,orb,918.0,50.0,0.16326093673706055
0,orb,896.0,50.0,0.195796012878418
0,orb,894.0,50.0,0.1949760913848877
0,orb,905.0,34.0,0.13622689247131348
0,orb,861.0,42.0,0.1432051658630371
0,orb,838.0,50.0,0.14574885368347168
0,orb,852.0,50.0,0.13123297691345215
0,orb,854.0,50.0,0.14557695388793945
0,orb,848.0,24.0,0.1786198616027832
0,orb,1082.0,25.0,0.1755518913269043
0,orb,1131.0,50.0,0.1898791790008545
0,orb,1142.0,33.0,0.1687169075012207
0,orb,979.0,50.0,0.11281204223632812
0,orb,969.0,41.0,0.1836540699005127
0,orb,1091.0,50.0,0.16275405883789062
0,orb,1075.0,50.0,0.1541440486907959
0,orb,1071.0,50.0,0.2263009548187256
0,orb,1058.0,33.0,0.17950010299682614
0,orb,1256.0,32.0,0.2051708698272705
0,orb,998.0,50.0,0.1423189640045166
0,orb,995.0,50.0,0.15940284729003906
0,orb,1004.0,33.0,0.12902212142944336
0,orb,799.0,50.0,0.1214900016784668
0,orb,814.0,29.0,0.09674906730651857
0,orb,666.0,50.0,0.08166003227233888
0,orb,669.0,32.0,0.11238789558410643
0,orb,653.0,50.0,0.1315150260925293
0,orb,655.0,50.0,0.1031818389892578
0,orb,655.0,30.0,0.14255213737487793
0,orb,511.0,50.0,0.09050798416137697
0,orb,510.0,38.0,0.10022807121276857
0,orb,552.0,50.0,0.09859609603881836
0,orb,563.0,50.0,0.08335399627685547
0,orb,528.0,50.0,0.08264684677124022
0,orb,532.0,29.0,0.1100618839263916
0,orb,759.0,50.0,0.13657188415527344
0,orb,758.0,39.0,0.17393016815185547
0,orb,912.0,50.0,0.1533811092376709
0,orb,915.0,50.0,0.1577310562133789
0,orb,920.0,50.0,0.16730308532714844
0,orb,872.0,37.0,0.1819760799407959
0,orb,1045.0,50.0,0.2481689453125
0,orb,1013.0,35.0,0.2216768264770508
0,orb,838.0,34.0,0.1346890926361084
0,orb,900.0,50.0,0.19812798500061035
0,orb,904.0,50.0,0.2548470497131348
0,orb,908.0,50.0,0.19119000434875488
